id;user_name;product_title;amount
1;copy;Movies multi-byte mobile;13761
2;Sri Lanka Rupee reboot;Pizza back-end Rial Omani;24132
3;firewall New York;quantifying Utah Refined;68226
4;Bahamian Dollar Pizza;SMTP withdrawal;56570
5;benchmark Florida;Home Loan Account Swedish Krona Gorgeous;46186
6;RSS generating North Dakota;Books;71785
7;Investor Generic Steel Towels Bedfordshire;Computers modular Checking Account;28737
8;Intranet;Networked;1158
9;Bike;Accountability;50909
10;indexing interactive National;Brooks eyeballs Books;96902
